Initial_Speed,Launch_Angle,Theoretical_Range,Measured_Range
80.80060120463672,64.52463840033033,516.8446696388233,516.5841999622297
99.66751964151959,81.01906920216632,312.2697670050081,311.73358903473456
91.96806703963391,64.823430465229,663.8823548562669,663.359425909508
24.446647400632607,86.52854212210804,7.364198789840103,7.964287964187724
27.600273584371962,60.268134251506005,66.88305518237689,65.35900359030596
20.266218367406907,35.78538313694571,39.720263465029426,38.800549933690434
92.63920849275029,82.95794599473118,212.8849014320329,214.2616777507677
24.647829220150555,68.96669721883782,41.49151480825586,42.223153218944354
32.89521696410786,19.367751670459235,69.02092802643233,66.86945018364827
62.19377264894664,12.30151426129435,164.1577174799938,163.9429204134846
48.25791255377582,60.923868513931005,201.65434910392005,200.53041406112874
79.06264693214877,13.756172860295424,294.3465897694795,295.01037223548093
33.1519707200486,23.32051575467821,81.45614387544015,79.77024772027312
61.99051017200709,89.40461830271761,8.140535840707965,8.143678281930708
23.51387365553512,68.50177485422668,38.43561445214584,37.59164820031463
77.72420067065491,63.84023823493833,487.3680480122944,487.55296261437144
72.08296092027749,87.83060311229158,40.0707480784135,38.51040894329892
32.3908136478662,21.911366639063097,74.05429726575994,73.77877958778548
15.430336849037785,62.22362655518458,20.014743819400117,19.42290279629028
37.51513909350368,56.01104456501412,132.9971364640647,133.7977340119967
57.37630901669191,10.083974850753412,115.69901605356772,115.98054936797864
99.31996448607774,30.197891393397043,874.284938601487,871.030621225892
26.802476840229172,17.011362823014736,40.97300112666327,39.282713088126094
43.876439716463004,11.787874993938754,78.48950039766221,78.60992077627957
53.30138706393689,81.96761671862804,80.14095169985404,79.06013659183537
54.76177690816296,35.0580727755145,287.46917997458627,286.5565243171943
14.219222624113407,67.34817858363033,14.65065767298749,15.815077679600632
59.97520166294162,15.80600204154961,192.1949173736811,192.0758034171421
75.47498992296477,42.373749375396486,578.242020635062,578.2995175920589
16.742995473359667,34.38476489235572,26.636332618293036,26.809009712602045
16.06498360675911,14.220091361875316,12.529056126330598,11.681654994541308
35.18833569798756,56.88964710735985,115.50468076376036,116.26533061120067
24.648167519492304,28.246860215780636,51.63870567067407,51.3952381993343
36.37203566256274,58.15592335278873,120.88308576332247,120.56081634064653
63.2223249458766,17.81974836247705,237.41301297021369,236.03103538762332
17.585367957384552,87.78080503247584,2.4395082933017123,3.065967181766557
57.60640744112329,77.83812778581962,139.33363267870183,138.5044403549649
